function,function,time_us
,time_us
Tempo por Loop, 39077.00000000
Tempo por Loop, 38956.00000000
Tempo por Loop, 39973.00000000
Tempo por Loop, 40664.00000000
Tempo por Loop, 40631.00000000
Tempo por Loop, 40102.00000000
Tempo por Loop, 39082.00000000
Tempo por Loop, 55462.00000000
Tempo por Loop, 41299.00000000
Tempo por Loop, 40608.00000000
Tempo por Loop, 38302.00000000
Tempo por Loop, 39819.00000000
Tempo por Loop, 40476.00000000
Tempo por Loop, 39111.00000000
Tempo por Loop, 107892.00000000
Tempo por Loop, 46954.00000000
Tempo por Loop, 62589.00000000
Tempo por Loop, 50355.00000000
Tempo por Loop, 53174.00000000
Tempo por Loop, 42028.00000000
Tempo por Loop, 44431.00000000
Tempo por Loop, 44245.00000000
Tempo por Loop, 43250.00000000
Tempo por Loop, 46315.00000000
Tempo por Loop, 43280.00000000
Tempo por Loop, 44837.00000000
Tempo por Loop, 45342.00000000
Tempo por Loop, 45090.00000000
Tempo por Loop, 56149.00000000
Tempo por Loop, 53722.00000000
Tempo por Loop, 43066.00000000
Tempo por Loop, 42230.00000000
Tempo por Loop, 44261.00000000
Tempo por Loop, 43548.00000000
Tempo por Loop, 42831.00000000
Tempo por Loop, 41782.00000000
Tempo por Loop, 46343.00000000
Tempo por Loop, 48610.00000000
Tempo por Loop, 48843.00000000
Tempo por Loop, 44834.00000000
Tempo por Loop, 45000.00000000
Tempo por Loop, 43756.00000000
Tempo por Loop, 45803.00000000
Tempo por Loop, 44292.00000000
Tempo por Loop, 45081.00000000
Tempo por Loop, 42091.00000000
Tempo por Loop, 43510.00000000
Tempo por Loop, 44311.00000000
Tempo por Loop, 42886.00000000
Tempo por Loop, 44285.00000000
Tempo por Loop, 60433.00000000
Tempo por Loop, 70112.00000000
Tempo por Loop, 41860.00000000
Tempo por Loop, 41193.00000000
Tempo por Loop, 38855.00000000
Tempo por Loop, 40230.00000000
Tempo por Loop, 43233.00000000
Tempo por Loop, 39796.00000000
Tempo por Loop, 40179.00000000
Tempo por Loop, 40344.00000000
Tempo por Loop, 39857.00000000
Tempo por Loop, 40018.00000000
Tempo por Loop, 39066.00000000
Tempo por Loop, 41744.00000000
Tempo por Loop, 39507.00000000
Tempo por Loop, 39563.00000000
Tempo por Loop, 40182.00000000
Tempo por Loop, 38864.00000000
Tempo por Loop, 40341.00000000
