function,function,time_us
,time_us
Tempo por Loop, 24136.00000000
Tempo por Loop, 21218.00000000
Tempo por Loop, 22937.00000000
Tempo por Loop, 26037.00000000
Tempo por Loop, 21107.00000000
Tempo por Loop, 25534.00000000
Tempo por Loop, 22378.00000000
Tempo por Loop, 21392.00000000
Tempo por Loop, 24078.00000000
Tempo por Loop, 28330.00000000
Tempo por Loop, 22500.00000000
Tempo por Loop, 33700.00000000
Tempo por Loop, 21689.00000000
Tempo por Loop, 20922.00000000
Tempo por Loop, 23684.00000000
Tempo por Loop, 22695.00000000
Tempo por Loop, 20974.00000000
Tempo por Loop, 22203.00000000
Tempo por Loop, 23988.00000000
Tempo por Loop, 22275.00000000
Tempo por Loop, 25668.00000000
Tempo por Loop, 20805.00000000
Tempo por Loop, 22071.00000000
Tempo por Loop, 21115.00000000
Tempo por Loop, 26581.00000000
Tempo por Loop, 22953.00000000
Tempo por Loop, 24305.00000000
Tempo por Loop, 20671.00000000
Tempo por Loop, 22944.00000000
Tempo por Loop, 24282.00000000
Tempo por Loop, 29269.00000000
Tempo por Loop, 82291.00000000
Tempo por Loop, 22681.00000000
Tempo por Loop, 24750.00000000
Tempo por Loop, 22936.00000000
Tempo por Loop, 24215.00000000
Tempo por Loop, 23144.00000000
Tempo por Loop, 21325.00000000
Tempo por Loop, 26246.00000000
Tempo por Loop, 23190.00000000
Tempo por Loop, 21172.00000000
Tempo por Loop, 23691.00000000
Tempo por Loop, 23313.00000000
Tempo por Loop, 22989.00000000
Tempo por Loop, 21171.00000000
Tempo por Loop, 26386.00000000
Tempo por Loop, 22794.00000000
Tempo por Loop, 21062.00000000
Tempo por Loop, 24594.00000000
Tempo por Loop, 23463.00000000
Tempo por Loop, 23134.00000000
